missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
7,30,10,2,0,DUO,17,3,10,2185,Ahri,False
8,35,9,0,0,CARRY,8,0,10,2185,Vayne,False
6,23,43,7,6,SUPPORT,61,0,10,2185,Morgana,False
2,9,7,0,0,SOLO,14,0,10,1768,Kled,False
9,59,5,1,2,NONE,36,1,10,1768,Pantheon,False
2,3,9,1,0,SOLO,19,1,10,1768,XinZhao,False
4,9,7,2,1,CARRY,38,1,10,1768,Jhin,False
2,28,39,9,8,SUPPORT,75,0,10,1768,Leona,False
7,14,10,1,0,SOLO,59,3,2,1768,Zoe,True
6,68,1,1,0,NONE,22,4,2,1768,Hecarim,True
6,31,10,3,0,SOLO,40,4,2,1768,Viktor,True
24,101,8,3,0,CARRY,11,4,2,1768,Smolder,True
11,101,38,7,8,SUPPORT,57,3,2,1768,Braum,True
9,45,13,4,1,SOLO,12,5,4,2212,Gwen,True
30,221,6,10,4,NONE,19,2,4,2212,MonkeyKing,True
2,95,3,5,0,SOLO,34,4,4,2212,Quinn,True
10,122,17,7,2,CARRY,8,4,4,2212,Tristana,True
19,125,40,8,10,SUPPORT,53,1,4,2212,Neeko,True
2,19,12,5,1,SOLO,23,3,11,2212,Irelia,False
26,245,10,6,7,NONE,19,1,11,2212,DrMundo,False
7,43,15,0,4,SOLO,21,0,11,2212,Sylas,False
13,68,18,5,3,CARRY,4,0,11,2212,Corki,False
4,19,38,9,1,SUPPORT,36,0,11,2212,Blitzcrank,False
12,35,6,0,0,NONE,40,1,5,1619,Sion,False
3,22,4,6,2,NONE,20,0,5,1619,Zaahen,False
1,8,6,0,0,SOLO,9,0,5,1619,Azir,False
6,20,9,1,0,CARRY,0,0,5,1619,Corki,False
0,0,22,0,0,SUPPORT,34,0,5,1619,Lux,False
4,24,6,0,0,SOLO,58,2,1,1619,Chogath,True
15,33,3,4,1,NONE,24,0,1,1619,Taliyah,True
0,0,8,1,0,SOLO,12,2,1,1619,Ahri,True
0,0,5,0,0,CARRY,16,4,1,1619,Jhin,True
0,0,18,5,0,SUPPORT,37,3,1,1619,Elise,True
5,11,10,1,0,SOLO,19,0,11,1738,Riven,False
9,41,3,8,0,NONE,20,1,11,1738,JarvanIV,False
12,49,9,5,2,SOLO,32,0,11,1738,Anivia,False
10,50,9,2,0,CARRY,23,1,11,1738,Caitlyn,False
10,53,35,11,0,SUPPORT,48,1,11,1738,Zoe,False
9,24,8,1,0,SOLO,16,6,2,1738,Darius,True
1,35,10,1,2,NONE,18,5,2,1738,Kindred,True
3,25,12,4,2,SOLO,25,5,2,1738,Viktor,True
0,12,10,4,0,CARRY,3,6,2,1738,Ezreal,True
2,25,33,5,8,SUPPORT,31,7,2,1738,Rakan,True
6,42,6,0,1,NONE,14,4,1,1400,Rumble,True
7,70,5,2,3,NONE,15,6,1,1400,Graves,True
5,43,8,3,1,SOLO,41,4,1,1400,TwistedFate,True
0,11,7,4,0,CARRY,9,5,1,1400,Nilah,True
3,23,21,9,3,SUPPORT,46,5,1,1400,Leona,True
3,18,7,0,0,SOLO,14,1,8,1400,Kled,False
12,38,3,1,0,NONE,7,0,8,1400,Zed,False
9,46,6,0,2,SOLO,7,0,8,1400,Azir,False
2,29,5,2,2,CARRY,33,0,8,1400,Cassiopeia,False
2,15,18,5,1,SUPPORT,33,0,8,1400,Thresh,False
17,33,8,0,0,SOLO,27,0,7,2016,Quinn,True
1,71,6,4,5,NONE,58,4,7,2016,Skarner,True
8,49,16,2,5,SOLO,29,5,7,2016,Orianna,True
1,12,11,4,1,CARRY,23,4,7,2016,Jinx,True
21,102,36,10,0,SUPPORT,34,1,7,2016,Soraka,True
4,37,10,5,0,SOLO,18,1,7,2016,Urgot,False
14,63,2,4,0,NONE,10,1,7,2016,Khazix,False
1,13,10,1,0,SOLO,24,3,7,2016,Vex,False
3,59,12,4,0,CARRY,2,3,7,2016,Kaisa,False
1,26,40,8,2,SUPPORT,59,1,7,2016,Thresh,False
0,22,5,1,0,SOLO,17,5,5,1621,Malphite,True
1,17,6,6,5,NONE,38,2,5,1621,Zyra,True
2,12,10,4,3,SOLO,27,3,5,1621,Yasuo,True
0,4,4,2,0,CARRY,10,2,5,1621,Vayne,True
5,27,34,4,7,SUPPORT,32,4,5,1621,Poppy,True
2,6,5,1,0,DUO,23,2,9,1621,Camille,False
9,64,5,5,4,NONE,15,2,9,1621,Diana,False
1,7,5,1,0,DUO,19,1,9,1621,Irelia,False
0,2,10,2,2,CARRY,1,0,9,1621,Kaisa,False
3,28,29,4,3,SUPPORT,33,0,9,1621,Lulu,False
1,17,8,1,0,SOLO,6,7,1,1674,Kayle,True
3,39,1,2,1,NONE,12,1,1,1674,Qiyana,True
11,31,13,4,3,SOLO,46,4,1,1674,Mel,True
0,14,9,1,0,CARRY,43,7,1,1674,Ashe,True
3,18,36,8,3,SUPPORT,42,4,1,1674,Swain,True
0,4,8,0,0,SOLO,49,1,11,1674,Sion,False
2,31,3,6,3,NONE,19,0,11,1674,JarvanIV,False
8,27,8,2,0,SOLO,36,0,11,1674,Zoe,False
3,8,6,1,0,NONE,5,0,11,1674,Jinx,False
17,66,34,4,6,SOLO,15,0,11,1674,Sona,False
2,47,9,2,1,SOLO,57,7,3,1848,Garen,True
0,33,3,5,0,NONE,16,3,3,1848,Aatrox,True
16,35,17,3,1,SOLO,6,2,3,1848,Katarina,True
2,9,7,2,0,CARRY,18,1,3,1848,Jinx,True
10,39,35,4,2,SUPPORT,34,4,3,1848,Soraka,True
0,10,10,1,0,SOLO,39,2,8,1848,Zaahen,False
3,80,7,1,4,NONE,24,0,8,1848,Kindred,False
4,10,9,1,0,SOLO,16,1,8,1848,Qiyana,False
5,10,14,3,5,CARRY,27,0,8,1848,Seraphine,False
0,2,29,11,3,SUPPORT,29,0,8,1848,Lux,False
5,23,7,0,0,SUPPORT,11,4,1,1158,Fiora,True
2,17,0,1,0,SUPPORT,16,0,1,1158,Shaco,True
5,22,6,1,0,SUPPORT,6,3,1,1158,Irelia,True
6,46,5,2,0,SUPPORT,0,2,1,1158,Kaisa,True
1,10,21,2,0,SUPPORT,20,2,1,1158,Brand,True
4,9,6,1,1,SUPPORT,19,0,8,1158,Anivia,False
5,26,8,1,4,SUPPORT,6,0,8,1158,Ekko,False
15,59,3,0,0,SUPPORT,17,1,8,1158,Riven,False
0,16,5,0,0,SUPPORT,8,0,8,1158,Jhin,False
2,12,7,3,0,SUPPORT,18,0,8,1158,Zyra,False
7,27,9,5,0,NONE,14,1,9,1735,Jayce,False
17,67,1,2,1,NONE,26,1,9,1735,Zaahen,False
9,45,7,0,0,CARRY,29,0,9,1735,Ahri,False
6,32,14,4,2,SOLO,14,0,9,1735,Draven,False
0,12,26,4,5,SUPPORT,42,0,9,1735,Rell,False
6,33,10,3,1,SOLO,15,3,2,1735,Irelia,True
7,66,8,6,5,NONE,24,3,2,1735,Pantheon,True
20,87,11,6,2,SOLO,65,4,2,1735,Taliyah,True
11,64,6,8,0,CARRY,11,4,2,1735,Tristana,True
1,23,21,2,0,SUPPORT,67,3,2,1735,Thresh,True
11,41,14,4,3,DUO,45,3,5,1756,Teemo,True
9,31,3,2,1,NONE,22,1,5,1756,JarvanIV,True
8,31,11,4,1,DUO,19,3,5,1756,Orianna,True
4,27,10,6,2,CARRY,9,4,5,1756,Yunara,True
5,21,30,8,4,SUPPORT,24,1,5,1756,Nami,True
2,9,7,3,0,SOLO,9,2,8,1756,Irelia,False
1,30,4,8,2,NONE,27,0,8,1756,Vi,False
2,19,11,1,1,SOLO,18,0,8,1756,Ahri,False
5,35,9,2,1,CARRY,8,3,8,1756,KogMaw,False
7,23,27,4,0,SUPPORT,20,1,8,1756,Lulu,False
1,27,5,2,0,SOLO,12,2,1,1307,Rumble,True
13,43,3,6,0,NONE,26,1,1,1307,Trundle,True
3,32,7,0,1,SOLO,129,0,1,1307,Nocturne,True
7,10,3,1,0,CARRY,12,3,1,1307,Ziggs,True
1,18,20,2,1,SUPPORT,33,2,1,1307,Rakan,True
12,17,6,1,0,SOLO,6,0,5,1307,Ambessa,False
5,35,6,2,1,NONE,16,0,5,1307,DrMundo,False
2,24,5,1,0,SOLO,8,0,5,1307,Aurora,False
0,15,7,0,0,CARRY,21,1,5,1307,Caitlyn,False
10,27,22,2,3,SUPPORT,40,1,5,1307,Thresh,False
2,14,10,2,1,SOLO,22,2,11,2461,Olaf,False
2,41,15,3,0,NONE,55,2,11,2461,Taliyah,False
23,54,5,5,4,SOLO,25,2,11,2461,Mel,False
2,7,9,2,0,CARRY,18,4,11,2461,Xayah,False
0,11,38,4,0,SUPPORT,95,1,11,2461,Morgana,False
2,7,15,3,0,DUO,22,7,7,2461,Riven,True
4,15,1,5,0,NONE,28,1,7,2461,Lillia,True
2,13,22,2,5,SOLO,27,2,7,2461,Ahri,True
0,9,12,5,0,DUO,6,1,7,2461,Ezreal,True
1,5,37,11,2,SOLO,37,2,7,2461,Rakan,True
1,2,9,3,0,SOLO,15,5,10,2121,DrMundo,False
0,44,2,4,1,NONE,57,2,10,2121,Sejuani,False
6,24,10,2,1,SOLO,58,3,10,2121,Anivia,False
9,25,9,4,2,CARRY,15,4,10,2121,Draven,False
11,182,69,13,20,SUPPORT,91,2,10,2121,Leona,False
11,41,12,5,0,SOLO,30,7,6,2121,Camille,True
2,57,3,10,0,NONE,52,6,6,2121,JarvanIV,True
7,24,16,6,8,SOLO,68,4,6,2121,Zoe,True
3,16,12,4,1,CARRY,61,3,6,2121,Mel,True
20,124,50,10,18,SUPPORT,72,5,6,2121,Karma,True
2,15,11,0,0,SOLO,59,0,11,2277,Briar,False
6,51,17,4,3,NONE,27,1,11,2277,LeeSin,False
0,21,10,3,0,SOLO,35,1,11,2277,Ahri,False
1,36,11,2,0,CARRY,14,0,11,2277,MissFortune,False
0,5,20,7,3,SUPPORT,41,0,11,2277,Velkoz,False
14,22,13,1,1,SOLO,72,5,3,2277,KSante,True
1,20,4,4,1,NONE,76,3,3,2277,RekSai,True
2,3,9,0,0,DUO,37,4,3,2277,Syndra,True
9,31,11,2,0,DUO,5,5,3,2277,Lucian,True
0,0,36,5,2,SOLO,51,7,3,2277,Nami,True
4,55,3,5,0,NONE,77,2,6,2563,Sion,True
6,42,2,4,1,NONE,50,3,6,2563,Malphite,True
4,10,17,0,1,SOLO,15,1,6,2563,Aurora,True
4,130,7,1,0,CARRY,29,2,6,2563,Aphelios,True
3,19,40,14,2,SUPPORT,90,3,6,2563,Lux,True
5,56,8,3,0,NONE,10,5,7,2563,Gwen,False
0,11,2,4,0,NONE,37,2,7,2563,Ambessa,False
10,71,6,2,0,SOLO,83,1,7,2563,Swain,False
14,110,7,1,0,NONE,77,2,7,2563,Ashe,False
3,9,42,10,8,SOLO,54,2,7,2563,Seraphine,False
12,29,7,0,0,SUPPORT,23,1,4,1182,Teemo,False
2,9,5,1,1,SUPPORT,8,0,4,1182,Qiyana,False
13,33,7,0,1,SUPPORT,14,0,4,1182,TwistedFate,False
2,11,6,0,1,SUPPORT,9,0,4,1182,Xayah,False
3,39,7,0,0,SUPPORT,23,0,4,1182,Zoe,False
7,12,7,0,0,SUPPORT,15,1,1,1182,Ornn,True
8,84,2,3,1,SUPPORT,16,0,1,1182,Volibear,True
1,6,4,1,0,DUO,0,0,1,1182,Akali,True
0,5,6,1,0,SUPPORT,0,3,1,1182,Lucian,True
0,11,19,5,3,SUPPORT,20,3,1,1182,Taric,True
6,9,9,3,0,SOLO,8,0,9,1631,Aurora,False
5,53,4,4,1,NONE,12,1,9,1631,Sylas,False
10,46,10,1,0,SOLO,51,1,9,1631,Annie,False
1,20,8,2,0,CARRY,5,1,9,1631,MissFortune,False
12,47,22,9,5,SUPPORT,13,1,9,1631,Milio,False
1,37,8,0,0,SOLO,16,5,2,1631,Ryze,True
4,54,7,4,3,NONE,29,2,2,1631,RekSai,True
7,20,10,6,1,SOLO,31,2,2,1631,Galio,True
0,5,8,4,0,CARRY,13,4,2,1631,Smolder,True
2,17,24,3,1,SUPPORT,22,5,2,1631,Nami,True
1,3,5,1,0,SOLO,33,3,10,1602,Garen,False
6,69,3,4,0,NONE,19,0,10,1602,Lillia,False
3,24,12,1,4,SOLO,36,0,10,1602,Zoe,False
8,72,11,10,2,CARRY,6,0,10,1602,Yunara,False
2,27,19,2,0,SUPPORT,26,0,10,1602,Karma,False
2,10,8,2,0,SOLO,6,5,3,1602,Gwen,True
6,120,11,4,2,NONE,10,4,3,1602,Rengar,True
11,40,16,2,3,SOLO,11,2,3,1602,Leblanc,True
3,8,6,0,0,CARRY,16,3,3,1602,Aphelios,True
1,18,33,6,4,SUPPORT,30,3,3,1602,Braum,True
3,27,10,3,0,CARRY,6,9,2,1807,Ezreal,True
1,49,7,8,4,NONE,29,6,2,1807,Viego,True
1,37,6,7,1,SOLO,62,3,2,1807,Neeko,True
9,14,10,6,1,SOLO,22,2,2,1807,Aatrox,True
0,20,45,7,8,SUPPORT,62,2,2,1807,Nautilus,True
2,6,9,1,1,SOLO,6,1,11,1807,Yorick,False
3,43,1,4,0,NONE,8,0,11,1807,MasterYi,False
6,35,15,3,4,SUPPORT,41,0,11,1807,Galio,False
3,16,9,1,0,DUO,0,1,11,1807,Kaisa,False
1,8,44,13,9,SUPPORT,35,0,11,1807,Taric,False
17,60,7,4,0,DUO,7,2,4,1650,Kassadin,True
12,95,11,5,2,NONE,147,0,4,1650,Nocturne,True
4,24,2,1,0,DUO,46,1,4,1650,Zac,True
4,35,9,5,0,SOLO,3,2,4,1650,Sivir,True
2,42,27,8,5,SOLO,58,0,4,1650,Leona,True
3,4,10,2,2,DUO,37,0,5,1650,Teemo,False
3,101,6,4,4,NONE,31,1,5,1650,Lillia,False
3,21,6,0,0,DUO,16,4,5,1650,Ryze,False
4,9,7,4,0,CARRY,10,0,5,1650,Tristana,False
1,8,34,12,6,SUPPORT,53,0,5,1650,Blitzcrank,False
0,5,10,0,0,SOLO,6,2,1,1546,Vladimir,True
0,3,5,3,0,NONE,12,1,1,1546,MonkeyKing,True
1,8,10,2,1,SOLO,16,4,1,1546,Jayce,True
1,9,7,0,0,CARRY,43,2,1,1546,Ashe,True
1,3,21,2,2,SUPPORT,27,0,1,1546,Braum,True
2,10,7,0,0,SOLO,30,0,6,1546,KSante,False
1,42,1,3,0,NONE,5,0,6,1546,Zed,False
5,10,9,0,0,SOLO,20,0,6,1546,Taliyah,False
3,6,5,0,0,CARRY,5,0,6,1546,Ezreal,False
0,4,24,9,0,SUPPORT,40,0,6,1546,Neeko,False
2,16,7,1,1,SOLO,26,4,2,1754,Aatrox,True
25,98,10,1,6,NONE,22,4,2,1754,Kayn,True
2,38,6,7,2,SOLO,4,3,2,1754,Akali,True
2,43,7,9,0,CARRY,56,5,2,1754,Ashe,True
22,98,29,7,7,SUPPORT,79,4,2,1754,Alistar,True
4,60,9,1,0,SOLO,19,1,9,1754,Ambessa,False
8,120,6,2,3,NONE,25,0,9,1754,Ekko,False
2,45,0,3,0,SOLO,46,0,9,1754,FiddleSticks,False
7,33,8,1,0,CARRY,7,2,9,1754,Tristana,False
1,29,45,8,8,SUPPORT,83,0,9,1754,Nautilus,False
1,20,4,0,0,SOLO,48,0,11,1647,Ornn,False
12,52,2,5,1,NONE,22,0,11,1647,Shaco,False
5,40,4,2,0,SOLO,3,1,11,1647,Akshan,False
16,47,8,0,0,CARRY,8,0,11,1647,Smolder,False
4,16,22,4,1,SUPPORT,30,0,11,1647,Soraka,False
0,6,9,1,0,DUO,28,3,1,1647,Aatrox,True
0,33,4,6,1,NONE,17,4,1,1647,JarvanIV,True
14,27,6,1,3,DUO,17,7,1,1647,Qiyana,True
2,24,9,2,1,CARRY,2,7,1,1647,Kaisa,True
1,33,33,2,2,SUPPORT,25,5,1,1647,Seraphine,True
1,1,6,0,1,SUPPORT,19,0,4,1121,Zaahen,False
3,13,4,0,0,SUPPORT,5,0,4,1121,Ekko,False
6,12,4,0,0,SUPPORT,15,0,4,1121,TwistedFate,False
2,6,6,0,0,DUO,4,0,4,1121,Twitch,False
9,15,14,1,3,SUPPORT,14,0,4,1121,Braum,False
0,0,2,0,0,SUPPORT,25,2,0,1121,Malphite,True
6,39,1,4,0,SUPPORT,2,1,0,1121,MasterYi,True
7,27,6,0,0,SUPPORT,21,1,0,1121,Sylas,True
11,53,7,1,0,SUPPORT,2,1,0,1121,MissFortune,True
0,20,7,0,0,SUPPORT,10,1,0,1121,Yuumi,True
1,1,6,0,1,SUPPORT,19,0,4,1121,Zaahen,False
3,13,4,0,0,SUPPORT,5,0,4,1121,Ekko,False
6,12,4,0,0,SUPPORT,15,0,4,1121,TwistedFate,False
2,6,6,0,0,DUO,4,0,4,1121,Twitch,False
9,15,14,1,3,SUPPORT,14,0,4,1121,Braum,False
0,0,2,0,0,SUPPORT,25,2,0,1121,Malphite,True
6,39,1,4,0,SUPPORT,2,1,0,1121,MasterYi,True
7,27,6,0,0,SUPPORT,21,1,0,1121,Sylas,True
11,53,7,1,0,SUPPORT,2,1,0,1121,MissFortune,True
0,20,7,0,0,SUPPORT,10,1,0,1121,Yuumi,True
3,8,9,1,0,SOLO,23,0,10,1697,Riven,False
1,4,3,0,1,NONE,17,1,10,1697,Udyr,False
1,4,12,0,0,SOLO,26,1,10,1697,Leblanc,False
0,5,9,1,0,CARRY,3,4,10,1697,Tristana,False
0,2,2,0,0,SUPPORT,27,0,10,1697,Lux,False
6,12,9,1,0,SOLO,27,4,5,1697,Urgot,True
1,17,3,0,0,NONE,22,2,5,1697,Lillia,True
0,2,2,0,0,SOLO,32,4,5,1697,Veigar,True
0,3,8,0,0,CARRY,19,5,5,1697,Aphelios,True
1,14,22,2,1,SUPPORT,62,4,5,1697,Leona,True
4,31,9,1,0,SOLO,5,3,2,1662,Naafiri,True
1,25,5,4,3,NONE,12,5,2,1662,Gwen,True
3,5,13,1,2,SOLO,0,2,2,1662,Akali,True
7,68,4,0,0,CARRY,14,1,2,1662,Karthus,True
2,12,23,9,1,SUPPORT,33,3,2,1662,Bard,True
1,3,7,2,0,SOLO,11,0,9,1662,Aatrox,False
8,51,1,4,0,NONE,7,0,9,1662,Zed,False
29,72,9,1,1,SOLO,27,1,9,1662,Syndra,False
4,16,3,1,0,CARRY,14,1,9,1662,Xayah,False
1,20,25,11,2,SUPPORT,29,0,9,1662,Rakan,False
15,27,9,1,0,SOLO,12,8,2,1657,Nasus,True
0,43,7,6,5,NONE,10,4,2,1657,Gwen,True
7,34,2,0,0,SOLO,20,2,2,1657,Sylas,True
16,65,8,0,0,CARRY,8,6,2,1657,MissFortune,True
8,33,20,4,0,SUPPORT,13,3,2,1657,Sona,True
8,33,9,0,0,SOLO,18,2,11,1657,Camille,False
2,3,3,2,0,NONE,7,0,11,1657,Fizz,False
17,44,9,1,0,SOLO,1,0,11,1657,Akali,False
4,27,10,4,1,CARRY,31,0,11,1657,Ashe,False
3,27,24,2,0,SUPPORT,37,0,11,1657,Nami,False
3,25,12,3,0,SOLO,62,5,8,1988,Malzahar,True
1,25,4,8,4,NONE,36,4,8,1988,Ekko,True
4,31,14,2,3,SOLO,28,3,8,1988,Zaahen,True
0,9,4,2,2,CARRY,5,3,8,1988,Ezreal,True
6,38,55,10,14,SUPPORT,72,5,8,1988,Alistar,True
0,8,8,2,0,DUO,12,1,10,1988,Jayce,False
2,19,4,1,2,NONE,25,0,10,1988,Lillia,False
3,13,11,4,0,DUO,13,5,10,1988,Irelia,False
6,29,8,3,0,CARRY,20,2,10,1988,Ziggs,False
9,39,44,5,6,SUPPORT,46,0,10,1988,Nautilus,False
4,23,9,1,4,DUO,19,4,9,2225,Irelia,False
0,63,2,1,1,NONE,41,3,9,2225,Warwick,False
5,13,9,0,0,DUO,53,1,9,2225,Mel,False
4,19,13,2,1,CARRY,13,0,9,2225,MissFortune,False
1,8,21,9,1,SUPPORT,59,0,9,2225,Poppy,False
0,9,16,3,1,CARRY,40,2,6,2225,Nasus,True
0,4,15,2,0,SUPPORT,22,1,6,2225,Kayn,True
14,64,6,0,0,SOLO,4,5,6,2225,Katarina,True
3,11,13,1,0,CARRY,19,3,6,2225,Aphelios,True
0,10,37,10,3,SUPPORT,59,0,6,2225,Braum,True
7,55,11,2,2,SOLO,37,4,2,1562,Gnar,True
5,29,1,1,0,NONE,24,5,2,1562,Pantheon,True
4,22,8,3,0,DUO,26,6,2,1562,Viktor,True
5,24,8,0,0,DUO,7,6,2,1562,Corki,True
0,9,23,6,2,SOLO,25,4,2,1562,Soraka,True
2,29,2,3,1,SOLO,23,2,10,1562,Sion,False
11,63,8,2,1,NONE,10,0,10,1562,Zed,False
3,20,9,0,2,SOLO,33,0,10,1562,Taliyah,False
2,33,7,1,0,CARRY,11,0,10,1562,Vayne,False
0,22,27,6,0,SUPPORT,18,0,10,1562,Sona,False
0,5,9,2,0,SOLO,8,3,8,1833,Kled,False
0,26,18,3,7,NONE,34,0,8,1833,LeeSin,False
9,31,12,2,1,SOLO,35,2,8,1833,Malphite,False
15,65,2,1,0,CARRY,14,2,8,1833,Twitch,False
5,41,28,18,4,SUPPORT,27,1,8,1833,Milio,False
4,24,10,1,1,SOLO,23,3,5,1833,Yone,True
6,30,19,3,7,NONE,26,4,5,1833,Jax,True
27,139,10,7,2,SOLO,13,7,5,1833,Azir,True
10,26,8,1,0,CARRY,15,2,5,1833,Draven,True
2,32,43,6,9,SUPPORT,38,2,5,1833,Blitzcrank,True
2,4,13,1,5,SOLO,33,1,10,1520,Gnar,False
0,17,10,2,2,NONE,21,0,10,1520,Shen,False
0,70,7,1,1,SOLO,35,0,10,1520,Anivia,False
11,25,8,1,0,CARRY,5,0,10,1520,MissFortune,False
1,5,20,4,2,SUPPORT,28,0,10,1520,Xerath,False
2,9,10,3,1,SOLO,20,1,1,1520,Pantheon,True
5,42,4,5,3,NONE,26,2,1,1520,Zaahen,True
1,10,9,1,0,SOLO,8,0,1,1520,Aurora,True
10,24,10,4,2,CARRY,0,7,1,1520,Sivir,True
2,23,24,5,3,SUPPORT,20,6,1,1520,Senna,True
14,46,11,1,0,SOLO,32,2,8,2220,Darius,False
13,57,7,4,5,NONE,21,0,8,2220,Viego,False
13,78,18,2,2,SOLO,85,2,8,2220,Chogath,False
11,45,7,6,0,CARRY,0,1,8,2220,Kaisa,False
2,17,36,6,4,SUPPORT,54,0,8,2220,Blitzcrank,False
5,20,14,3,0,SOLO,37,3,6,2220,Shen,True
25,186,7,5,3,NONE,29,2,6,2220,Karthus,True
7,16,5,2,0,SOLO,32,1,6,2220,Xerath,True
8,19,8,4,0,CARRY,15,6,6,2220,Draven,True
2,56,30,6,3,SUPPORT,76,3,6,2220,Nautilus,True
17,64,8,1,1,SOLO,84,5,3,1916,Chogath,True
2,140,26,3,10,NONE,16,3,3,1916,LeeSin,True
5,48,4,4,1,SOLO,4,3,3,1916,Kassadin,True
36,83,8,4,0,CARRY,0,6,3,1916,Kaisa,True
3,69,39,11,8,SUPPORT,33,3,3,1916,Neeko,True
5,31,10,3,0,SOLO,20,0,9,1916,Sett,False
8,71,7,11,2,NONE,5,0,9,1916,Zed,False
1,11,12,5,0,SOLO,22,1,9,1916,Seraphine,False
2,22,10,2,0,CARRY,8,3,9,1916,Caitlyn,False
3,36,41,11,2,SUPPORT,19,2,9,1916,Nami,False
2,4,6,0,0,SOLO,43,1,11,1516,Ornn,False
2,20,2,7,0,NONE,8,0,11,1516,Kindred,False
10,21,8,0,0,SOLO,16,0,11,1516,Karma,False
6,14,9,0,2,CARRY,4,0,11,1516,KogMaw,False
9,19,22,4,2,SUPPORT,24,0,11,1516,Lulu,False
2,28,9,0,0,SOLO,6,4,1,1516,Gwen,True
5,85,2,3,2,NONE,57,5,1,1516,Ivern,True
0,0,9,5,1,SOLO,6,4,1,1516,Smolder,True
1,8,8,1,0,CARRY,48,9,1,1516,Jhin,True
10,33,24,3,2,SUPPORT,56,8,1,1516,Leona,True
0,1,8,1,0,SOLO,25,1,1,1399,Sett,True
0,2,8,1,1,NONE,33,0,1,1399,Ivern,True
7,24,7,0,0,SOLO,24,1,1,1399,Pantheon,True
0,14,7,1,0,CARRY,29,1,1,1399,Mel,True
3,22,15,2,2,SUPPORT,36,1,1,1399,Thresh,True
10,24,8,0,0,SOLO,33,1,3,1399,Zaahen,False
0,2,5,0,1,NONE,10,0,3,1399,Fizz,False
3,13,4,2,0,SOLO,32,0,3,1399,Zoe,False
0,7,8,0,0,CARRY,6,0,3,1399,Nilah,False
0,18,9,1,0,SUPPORT,10,1,3,1399,MissFortune,False
12,54,14,8,5,NONE,24,3,2,1673,Camille,True
2,20,4,3,3,NONE,25,3,2,1673,Viego,True
2,13,10,3,0,SOLO,34,6,2,1673,Velkoz,True
6,36,19,0,8,CARRY,18,9,2,1673,Jhin,True
2,24,19,6,0,SUPPORT,38,5,2,1673,Bard,True
7,38,10,3,0,SOLO,5,0,10,1673,Kayle,False
14,52,4,7,0,NONE,26,1,10,1673,RekSai,False
6,32,12,1,3,SOLO,10,2,10,1673,Yone,False
0,10,3,3,0,CARRY,33,1,10,1673,Ashe,False
10,65,36,10,8,SUPPORT,50,1,10,1673,Maokai,False
8,89,11,5,0,SOLO,63,9,2,2326,KSante,True
2,42,4,7,2,NONE,29,2,2,2326,Sylas,True
0,2,15,3,0,SOLO,27,3,2,2326,Zaahen,True
0,1,14,1,0,CARRY,48,6,2,2326,Mel,True
2,4,23,6,0,SUPPORT,50,7,2,2326,Senna,True
3,12,11,0,0,SOLO,34,0,10,2326,Riven,False
4,14,17,2,3,NONE,37,0,10,2326,Ornn,False
4,8,16,0,1,SOLO,35,2,10,2326,Ziggs,False
5,16,7,2,0,CARRY,19,0,10,2326,Smolder,False
3,13,24,9,3,SUPPORT,71,0,10,2326,Soraka,False
4,22,6,3,0,SOLO,25,2,8,1297,Sejuani,False
18,70,2,1,0,NONE,11,1,8,1297,Vi,False
3,26,4,0,0,SOLO,3,0,8,1297,Vladimir,False
12,53,7,2,3,CARRY,4,0,8,1297,Ezreal,False
3,49,24,5,4,SUPPORT,33,1,8,1297,Soraka,False
0,1,4,0,0,DUO,18,1,2,1297,Zaahen,True
14,114,6,6,4,NONE,31,3,2,1297,Zyra,True
3,71,2,5,0,DUO,5,7,2,1297,Tristana,True
